경매번호,주소지,x,y,종류,면적,감정가,입찰가,입찰일,링크,크기,건물 면적,토지 면적,대지권 면적
2022 타경 2300(2),경남 거제시 아주동 1341-1 아주팰리스 6층 605호,128.68087598495,34.867146261582,오피스텔,건물 27.1㎡(8.2평) / 대지권 17.78㎡(5.38평),"110,000,000","88,000,000",2023-06-12,"<a href=""https://www.dooinauction.com/auction/search/?auction_id=B02_20220002300_002"">link</a>",10,8.2,0.0,5.38
2022 타경 2309,전북 고창군 아산면 학전리 955-1 외 3개 목록,126.60414750374,35.461589717564,농가시설,건물 498㎡(150.65평) / 토지 2197㎡(664.59평),"279,996,500","195,998,000",2023-06-12,"<a href=""https://www.dooinauction.com/auction/search/?auction_id=C04_20220002309_001"">link</a>",10,150.65,664.59,0.0
2022 타경 2334,부산 수영구 광안동 776-11 광안명진웰리치 13층 1302호,129.11119922972,35.152979263725,아파트,건물 84.9㎡(25.68평) / 대지권 18.1㎡(5.48평),"327,000,000","261,600,000",2023-06-12,"<a href=""https://www.dooinauction.com/auction/search/?auction_id=602_20220002334_001"">link</a>",10,25.68,0.0,5.48
2022 타경 2378(1),전남 함평군 함평읍 석성리 26-12,126.47018876593,35.085585520588,임야,토지 980㎡(296.45평),"18,620,000","13,034,000",2023-06-12,"<a href=""https://www.dooinauction.com/auction/search/?auction_id=802_20220002378_001"">link</a>",10,0.0,296.45,0.0
2022 타경 2378,전북 부안군 변산면 격포리 213-2 외 1개 목록,126.47935350218,35.636040279662,전,토지 195.7㎡(59.2평),"19,113,800","13,380,000",2023-06-12,"<a href=""https://www.dooinauction.com/auction/search/?auction_id=C04_20220002378_001"">link</a>",10,0.0,59.2,0.0
2022 타경 2378(1),경북 포항시 북구 흥해읍 흥안리 산 10-20,129.38300741738,36.130700303653,임야,토지 662㎡(200.26평),"36,410,000","17,841,000",2023-06-12,"<a href=""https://www.dooinauction.com/auction/search/?auction_id=708_20220002378_001"">link</a>",10,0.0,200.26,0.0
2022 타경 2381,전남 광양시 진월면 망덕리 144-3 다동호,127.75285425806,34.976110405432,공장(정비공장),건물 412.1㎡(124.66평),"64,409,800","36,070,000",2023-06-12,"<a href=""https://www.dooinauction.com/auction/search/?auction_id=803_20220002381_001"">link</a>",10,124.66,0.0,0.0
2022 타경 2402(1),전북 전주시 덕진구 금암동 668-3 코앞 지하 1층 36호 외 2개 목록,127.13119099719,35.840906092135,근린상가,건물 37.26㎡(11.27평) / 대지권 53.4㎡(16.15평),"82,000,000","28,126,000",2023-06-12,"<a href=""https://www.dooinauction.com/auction/search/?auction_id=C01_20220002402_001"">link</a>",10,11.27,0.0,16.15
2022 타경 2402(2),전북 전주시 덕진구 금암동 668-3 코앞 지하 1층 1호 외 1개 목록,127.13119099719,35.840906092135,근린상가,건물 252.14㎡(76.27평) / 대지권 129.3㎡(39.11평),"613,000,000","210,259,000",2023-06-12,"<a href=""https://www.dooinauction.com/auction/search/?auction_id=C01_20220002402_002"">link</a>",10,76.27,0.0,39.11
2022 타경 2402(3),전북 전주시 덕진구 금암동 668-3 코앞 지하 1층 15호,127.13119099719,35.840906092135,근린상가,건물 145.47㎡(44평) / 대지권 74.6㎡(22.57평),"354,000,000","121,422,000",2023-06-12,"<a href=""https://www.dooinauction.com/auction/search/?auction_id=C01_20220002402_003"">link</a>",10,0.0,0.0,22.57
